C03557	NCCP(O)(O)=O
C00002	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
C00796	Oc1c(Cc2c(O)c3ccccc3oc2=O)c(=O)oc2ccccc12
C02565	CN1CC(=O)NC1=O
C03289	[H][C@@]1(OC(=O)C(=O)[C@H]1O)[C@@H](O)CO
C16148	CCC(C)CCCCCCCCCCC(=O)OC[C@H]1O[C@@H](OC(=O)C(\C)=C\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(/C)CCC=C(C)C)[C@H](O)[C@@H](O)[C@@H]1O
C03345	C\C=C(/C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C00407	CC[C@H](C)[C@H](N)C(O)=O
C11143	CS(=O)C
C20444	C4(=CC5(OC1(=C(C(O)=CC2(O[CH]3(OCC[CH](C1=2)3)))C(=O)C(C(O)=C4)=5)))
C00503	OCC(O)C(O)CO
C06520	COc1ccc(C[C@@H]2NCCc3cc(OC)c(O)cc23)cc1O
C20525	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC2(C1(C=CC=CC=1NC=2))
C01330	[Na]
C16639	C(C1(C(O)C(O)C(O)O1))O
C00954	OC(=O)Cc1c[nH]c2ccccc12
C17735	CC(C(C(C(C(C)C1(C2(CCC3(C4(C)(CCC(O)C[CH](C(=O)OCC(C(CC1)2)3)4)))(C)))O)O)C)C
C03368	CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@@]4(O[C@H](C(N)COP(O)(O)=O)[C@H](O)[C@H](O)[C@H]4O)O[C@H]23)[C@@H]1O
C09868	CC1CCc2c(C)coc2C1
C12023	CCCCCCCCCCCC1(=CC=C(N1)C=C3(C(OC)=CC(C2(NC=CC=2))=N3))
C16495	[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)[C@H](O)CCC(C)(C)O
C20583	C1(=CO[CH]2([CH]1C3(C(O2)=CC4(=C(C(O)=3)C(=O)C5(=C(C(=O)4)C=C([O-])C=C(O)5)))))
C01531	CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C/c1ccc(cc1)S(C)=O
C21706	CC(C)=CCC=C(C)[CH]1(C2(CCC(C)=CCC(C)(CC1)2))
C03194	C[C@@H](O)CN
C12303	OC(=O)\C=C/C(O)=O.CN(C)CCC(c1ccccc1)c1ccccn1
C01192	CCCCCCCCCCCCCCCC(=O)OCC(=O)COP(O)(O)=O
C12232	CN3(CCC14(C=CC(O)C[CH](OC2(=C(O)C=CC(=C12)C3))4))
C07911	CC([N+])C(O)C1(C=CC=CC=1)
C02741	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1ncn([C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)c2=N
C17705	CC([N+])C3(C(O)C(O)C([N+])C(OC2(C([N+])CC([N+])C(OC1(OCC(O)(C)C([N+]C)C(O)1))C(O)2))O3)
C02666	COc1cc(\C=C\C=O)ccc1O
C07044	[O-]S(=O)(=O)c1ccc2c(cc(cc2c1)S([O-])(=O)=O)S([O-])(=O)=O
C00041	C[C@H](N)C(O)=O
C18157	C=CC2(C(C)=C4(C=C9(C(C)C(CCC(=O)[O-])C5(=N([Mg]36(N1(=C(C(CC)=C(C)C1=CC=2N34)C=C7(C(C)=C8(C(=O)[C-]C5=C(N67)8)))))9))))
C06686	CC3(C1(OC2(C(Cl)=C(OC)C=C(OC)C(C(=O)1)=2))C(OC)=CC(=O)C3)
C15785	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C
C05772	CC1(=C5([N+]C(=CC4(=NC(=CC3(NC(CC2(NC1=C(CC(=O)[O-])C(CCC(=O)[O-])=2))=C(CCC(=O)[O-])C(CC(=O)[O-])=3))C(CCC(=O)[O-])C(C)(CC(=O)[O-])4))C(CCC(=O)[O-])C(C)(CC(=O)[O-])5))
C07732	C1(C=C2(OC3(=CC=CC=C(OC(=CC=1)2)3)))
C02704	COS(=O)([O-])=O
C01829	C(=O)([O-])C([N+])CC1(C=C(I)C(=C(I)C=1)OC2(=CC(I)=C(O)C(I)=C2))
C05443	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C
