CPD-1106	C03557
ATP	C00002
DICOUMAROL	C00796
N-METHYLHYDANTOIN	C02565
CPD-329	C03289
CPD-9916	C16148
CPD-1083	C03345
ILE	C00407
DMSO	C11143
CPD-4586	C20444
ERYTHRITOL	C00503
CPD-15799	C06520
CPD-16736	C20525
NA+	C01330
CPD0-1108	C16639
INDOLE_ACETATE_AUXIN	C00954
CPD-12497	C17735
7-O-PHOSPHOHYGROMYCIN-B	C03368
CPD-4981	C09868
CPD-17025	C12023
CPD-15497	C16495
CPD-10176	C20583
CPD0-2556	C01531
CPD-20245	C21706
1-AMINO-PROPAN-2-OL	C03194
CPD-14529	C12303
PALMITOYLGLYCERONE-PHOSPHATE	C01192
CPD-19442	C12232
CPD-9951	C07911
PHOSPHORIBOSYL-AMP	C02741
CPD-14210	C17705
|Fe3-siderophores|	C06704
CONIFERYL-ALDEHYDE	C02666
HYDROXY-UREA	C07044
L-ALPHA-ALANINE	C00041
CPD-18841	C18157
CPD-17786	C06686
CPD-698	C15785
CPD-642	C05772
CPD-922	C07732
CPD-545	C02704
L-THYROXINE	C01829
VITAMIN_D3	C05443
CPD-12461	C19852
RIBOSE-TRIPHOSPHATE	C02884
CPD-8168	C13871
CPD-13559	C00936
CPD-4888	C06074
CPD-15773	C16692
5-P-BETA-D-RIBOSYL-AMINE	C03090
CPD-16992	C21565
CPD-1078	C04297
CPD-14873	C12115
CPD-639	C02224
CPD-7275	C05450
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	C04409
CPD-12810	C01722
CPD-19423	C21637
G3P	C00197
CPD-12046	C20569
CPD-13303	C06079
CPD0-1581	C01965
|N-Acetylarylalkylamines|	C02998
DIHYDRONEOPTERIN-P3	C04895
CPD-1241	C01113
INDICAN	C08481
CPD-12377	C16844
CPD-19835	C21646
CPD-7857	C17621
CPD-8660	C19730
N-23-DIHYDROXYBENZOYL-L-SERINE	C04204
CPD-203	C01894
CPD66-55	C04742
8-OXOCOFORMYCIN	C02243
CPD-15449	C20715
CPD-387	C00708
CPD-683	C00941
CPD-13933	C20228
UDP-N-ACETYL-D-GLUCOSAMINE	C00043
3S-CITRYL-COA	C00566
CPD-19561	C11692
CPD-713	C15789
CPD-590	C05906
CPD-15604	C05140
CPD-10381	C15745
SARCOSINE	C00213
|TRP-tRNAs|	C01652
CPD-10033	C11410
7-O-METHYLLUTEONE	C07290
